Name,playerid,birth_date,PA_21,OBP_21,PA_20,OBP_20,PA_19,OBP_19,PA_18,OBP_18,PA_17,OBP_17,PA_16,OBP_16
Andy Young,19521,5/10/94,104,0.298,34,0.382,,,,,,,,
Miguel Sano,12164,5/11/93,532,0.312,205,0.278,439,0.34600000000000003,299,0.281,483,0.35200000000000004,495,0.319
Brad Miller,12775,10/18/89,377,0.321,171,0.35700000000000004,170,0.32899999999999996,254,0.311,407,0.327,601,0.304
Geraldo Perdomo,22799,10/22/99,37,0.37799999999999995,,,,,,,,,,
Harrison Bader,18030,6/3/94,401,0.324,125,0.336,406,0.314,427,0.33399999999999996,92,0.28300000000000003,,
Wil Myers,10047,12/10/90,500,0.33399999999999996,218,0.353,490,0.321,343,0.318,649,0.32799999999999996,676,0.336
Alejandro Kirk,22581,11/6/98,189,0.32799999999999996,25,0.4,,,,,,,,
Elias Diaz,11680,11/17/90,371,0.31,73,0.28800000000000003,332,0.29600000000000004,277,0.33899999999999997,200,0.265,4,0
Nico Hoerner,21479,5/13/97,170,0.382,126,0.312,82,0.305,,,,,,
Max Schrock,17750,10/12/94,134,0.32799999999999996,17,0.17600000000000002,,,,,,,,
Danny Jansen,16535,4/15/95,205,0.299,147,0.313,384,0.27899999999999997,95,0.34700000000000003,,,,
Akil Baddoo,22168,8/16/98,461,0.33,,,,,,,,,,
Nicky Lopez,19339,3/13/95,565,0.365,192,0.28600000000000003,402,0.276,,,,,,
Carson Kelly,13620,7/14/94,359,0.34299999999999997,129,0.264,365,0.348,42,0.205,75,0.24,14,0.214
Jake Meyers,20308,6/18/96,163,0.32299999999999995,,,,,,,,,,
Austin Hays,19363,7/5/95,529,0.308,134,0.32799999999999996,75,0.373,,,63,0.23800000000000002,,
Ian Happ,17919,8/12/94,535,0.32299999999999995,231,0.361,156,0.33299999999999996,462,0.353,413,0.32799999999999996,,
Andrew Benintendi,17901,7/6/94,538,0.324,52,0.314,615,0.34299999999999997,661,0.366,658,0.35200000000000004,118,0.359
Lane Thomas,16939,8/23/95,264,0.341,40,0.2,44,0.409,,,,,,
Ramon Laureano,17128,7/15/94,378,0.317,222,0.33799999999999997,481,0.34,176,0.358,,,,
Steven Duggar,17719,11/4/93,297,0.33,36,0.222,281,0.278,152,0.303,,,,
Austin Meadows,15672,5/3/95,591,0.315,152,0.29600000000000004,591,0.364,191,0.325,,,,
Josh Rojas,19734,6/30/94,550,0.341,70,0.257,157,0.312,,,,,,
Matt Duffy,13836,1/15/91,322,0.35700000000000004,,,169,0.34299999999999997,560,0.361,,,366,0.31
Max Stassi,10059,3/15/91,319,0.326,105,0.35200000000000004,147,0.21100000000000002,250,0.316,31,0.32299999999999995,13,0.077
Chas McCormick,19599,4/19/95,320,0.319,,,,,,,,,,
Trey Mancini,15149,3/18/92,616,0.326,,,679,0.364,636,0.299,586,0.33799999999999997,15,0.4
Mike Yastrzemski,14854,8/23/90,532,0.311,225,0.4,411,0.33399999999999996,,,,,,
Kevin Plawecki,13807,2/26/91,173,0.349,89,0.39299999999999996,174,0.287,277,0.315,118,0.364,151,0.298
Andy Ibanez,18819,4/3/93,272,0.321,,,,,,,,,,
Yandy Diaz,16578,8/8/91,541,0.353,138,0.428,347,0.34,120,0.375,179,0.35200000000000004,,
Christian Yelich,11477,12/5/91,475,0.36200000000000004,247,0.35600000000000004,580,0.429,651,0.402,695,0.369,659,0.376
Keibert Ruiz,19610,7/20/98,96,0.33299999999999996,8,0.25,,,,,,,,
Alcides Escobar,6310,12/16/86,349,0.34,,,,,531,0.27899999999999997,629,0.272,682,0.292
Daniel Vogelbach,14130,12/17/92,258,0.349,136,0.331,558,0.341,102,0.324,31,0.29,13,0.154
Josh Harrison,8202,7/8/87,558,0.341,91,0.35200000000000004,147,0.218,374,0.293,542,0.33899999999999997,522,0.311
Donovan Solano,8623,12/17/87,344,0.344,203,0.365,228,0.36,,,,,23,0.261
Adam Duvall,10950,9/4/88,555,0.281,209,0.301,130,0.315,427,0.27399999999999997,647,0.301,608,0.297
Jonathan Schoop,11265,10/16/91,674,0.32,177,0.324,464,0.304,501,0.266,675,0.33799999999999997,647,0.298
Jorge Soler,14221,2/25/92,602,0.316,174,0.326,679,0.354,257,0.354,110,0.245,264,0.33299999999999996
Jake Fraley,19260,5/25/95,265,0.35200000000000004,29,0.24100000000000002,41,0.171,,,,,,
Dansby Swanson,18314,2/11/94,653,0.311,264,0.345,545,0.325,533,0.304,551,0.312,145,0.361
Omar Narvaez,13338,2/10/92,445,0.342,126,0.294,482,0.353,322,0.366,295,0.373,117,0.35
Daulton Varsho,19918,7/2/96,315,0.318,115,0.287,,,,,,,,
Ben Gamel,12160,5/17/92,400,0.34700000000000003,127,0.315,356,0.337,293,0.358,550,0.322,57,0.278
Edmundo Sosa,17022,3/6/96,326,0.34600000000000003,,,10,0.4,3,0.33299999999999996,,,,
Michael Conforto,16376,3/1/93,479,0.344,233,0.41200000000000003,648,0.363,638,0.35,440,0.384,348,0.31
Luis Arraez,18568,4/9/97,479,0.35700000000000004,121,0.364,366,0.39899999999999997,,,,,,
Austin Slater,16153,12/13/92,306,0.32,104,0.408,192,0.33299999999999996,225,0.33299999999999996,127,0.33899999999999997,,
Abraham Almonte,5486,6/27/89,175,0.331,13,0.231,38,0.42100000000000004,151,0.26,195,0.314,194,0.294
Yadiel Hernandez,19334,10/9/87,289,0.32899999999999996,28,0.214,,,,,,,,
Trent Grisham,18564,11/1/96,527,0.327,252,0.35200000000000004,183,0.32799999999999996,,,,,,
Austin Dean,18288,10/14/93,38,0.342,7,0.5710000000000001,189,0.261,122,0.27899999999999997,,,,
Kyle Lewis,19508,7/13/95,147,0.33299999999999996,242,0.364,75,0.293,,,,,,
Francisco Mejia,16403,10/27/95,277,0.322,42,0.14300000000000002,244,0.316,62,0.258,14,0.214,,
Jonathan Villar,10071,5/2/91,505,0.322,207,0.301,714,0.33899999999999997,515,0.325,436,0.293,679,0.369
Eric Hosmer,3516,10/24/89,565,0.337,156,0.33299999999999996,667,0.31,677,0.322,671,0.385,667,0.32799999999999996
Ryan Zimmerman,4220,9/28/84,273,0.28600000000000003,,,190,0.321,323,0.337,576,0.358,467,0.272
Lorenzo Cain,9077,4/13/86,286,0.32899999999999996,21,0.429,623,0.325,620,0.395,645,0.363,434,0.33899999999999997
Jace Peterson,12325,5/9/90,302,0.348,61,0.39299999999999996,108,0.26899999999999996,246,0.31,215,0.318,408,0.35
Tommy Pham,2967,3/8/88,561,0.34,125,0.312,654,0.369,570,0.36700000000000005,530,0.41100000000000003,183,0.324
Pavin Smith,19892,2/6/96,545,0.32799999999999996,44,0.341,,,,,,,,
Sam Hilliard,17954,2/21/94,238,0.294,114,0.272,87,0.35600000000000004,,,,,,
Colin Moran,16909,10/1/92,359,0.33399999999999996,200,0.325,503,0.322,465,0.34,12,0.41700000000000004,25,0.2
Yermin Mercedes,17423,2/14/93,262,0.32799999999999996,1,0,,,,,,,,
Corey Dickerson,10762,5/22/89,365,0.326,210,0.311,279,0.341,533,0.33,629,0.325,548,0.293
Eloy Jimenez,17484,11/27/96,231,0.303,226,0.332,504,0.315,,,,,,
Joey Wendle,13853,4/26/90,501,0.319,184,0.342,263,0.293,545,0.354,14,0.35700000000000004,104,0.298
Francisco Lindor,12916,11/14/93,524,0.322,266,0.335,654,0.335,745,0.35200000000000004,723,0.337,684,0.358
Ehire Adrianza,8418,8/21/89,209,0.327,101,0.287,236,0.349,366,0.301,186,0.324,71,0.299
Jose Rondon,14140,3/3/94,90,0.322,,,157,0.263,107,0.28,,,26,0.154
Eric Haase,14111,12/18/92,381,0.28600000000000003,19,0.21100000000000002,17,0.11800000000000001,17,0.17600000000000002,,,,
Lars Nootbaar,21454,9/8/97,124,0.317,,,,,,,,,,
Eddie Rosario,12155,9/28/91,412,0.305,231,0.316,590,0.3,592,0.32299999999999995,589,0.32799999999999996,354,0.295
Kyle Farmer,14813,8/17/90,529,0.316,70,0.32899999999999996,197,0.27899999999999997,77,0.312,20,0.3,,
Austin Nola,15941,12/28/89,194,0.34,184,0.353,267,0.342,,,,,,
Amed Rosario,15518,11/20/95,588,0.321,147,0.272,655,0.32299999999999995,592,0.295,170,0.271,,
Joc Pederson,11899,4/21/92,481,0.31,138,0.285,514,0.33899999999999997,443,0.321,323,0.331,476,0.35200000000000004
Jake McCarthy,21622,7/30/97,70,0.33299999999999996,,,,,,,,,,
Manny Pina,2829,6/5/87,208,0.293,45,0.33299999999999996,179,0.313,337,0.307,359,0.327,81,0.34600000000000003
DJ LeMahieu,9874,7/13/88,679,0.349,216,0.42100000000000004,655,0.375,581,0.321,682,0.374,635,0.41600000000000004
Seth Brown,18171,7/13/92,307,0.27399999999999997,5,0,83,0.361,,,,,,
Bobby Bradley,17278,5/29/96,279,0.294,,,49,0.245,,,,,,
Gary Sanchez,11442,12/2/92,440,0.307,178,0.253,446,0.316,374,0.29100000000000004,525,0.345,229,0.376
Brian Anderson,18289,5/19/93,264,0.337,229,0.345,520,0.342,670,0.35700000000000004,95,0.337,,
Kyle Garlick,18063,1/26/92,107,0.28,23,0.174,53,0.321,,,,,,
Adolis Garcia,19287,3/2/93,622,0.28600000000000003,7,0.14300000000000002,,,17,0.11800000000000001,,,,
David Peralta,2136,8/14/87,538,0.325,218,0.33899999999999997,423,0.34299999999999997,614,0.35200000000000004,577,0.35200000000000004,183,0.295
J.P. Crawford,15491,1/11/95,687,0.33799999999999997,232,0.336,396,0.313,138,0.319,87,0.35600000000000004,,
Alex Dickerson,12649,5/26/90,312,0.304,170,0.371,190,0.332,,,,,285,0.33299999999999996
Brett Phillips,14735,5/30/94,292,0.3,59,0.305,79,0.247,147,0.252,98,0.35100000000000003,,
Jazz Chisholm Jr.,20454,2/1/98,507,0.303,62,0.242,,,,,,,,
Travis Jankowski,13768,6/15/91,157,0.364,17,0.17600000000000002,24,0.25,387,0.332,87,0.282,383,0.332
Odubel Herrera,11476,12/29/91,492,0.31,,,139,0.28800000000000003,597,0.31,563,0.325,656,0.361
Leury Garcia,5913,3/18/91,474,0.335,63,0.317,618,0.31,275,0.303,326,0.316,50,0.26
Jacob Stallings,13723,12/22/89,427,0.335,143,0.326,210,0.325,41,0.268,16,0.43799999999999994,15,0.4
Wilmer Difo,14320,4/2/92,240,0.32899999999999996,18,0.222,144,0.315,456,0.298,365,0.319,66,0.364
Matt Chapman,16505,4/28/93,622,0.314,152,0.276,670,0.342,616,0.35600000000000004,326,0.313,,
Miguel Rojas,7802,2/24/89,539,0.322,143,0.392,526,0.331,528,0.297,306,0.361,214,0.28800000000000003
Jed Lowrie,4418,4/17/84,512,0.318,,,8,0.125,680,0.353,645,0.36,369,0.314
Luis Torrens,15905,5/2/96,378,0.299,78,0.325,16,0.313,,,139,0.243,,
Alex Avila,7476,1/29/87,111,0.345,62,0.355,201,0.353,234,0.299,376,0.387,209,0.359
